Frame Number,Headpose Pitch (deg),Headpose Yaw (deg),Headpose Roll (deg)
260,-19.8532,-29.298,-0.56124
261,-19.8529,-29.3243,-0.561843
262,-19.8525,-29.3573,-0.562601
263,-19.8521,-29.3974,-0.563523
264,-19.8515,-29.4448,-0.564614
265,-19.8509,-29.4998,-0.565881
266,-19.8502,-29.5627,-0.567332
267,-19.8494,-29.6338,-0.568972
268,-19.8485,-29.7133,-0.57081
269,-19.8474,-29.8014,-0.572853
270,-19.8463,-29.8986,-0.575107
271,-19.8451,-30.005,-0.577581
272,-19.8431,-30.1724,-0.581484
273,-19.8399,-30.4446,-0.587861
274,-19.8355,-30.81,-0.596476
275,-19.83,-31.257,-0.607104
276,-19.8236,-31.7739,-0.61952
277,-19.8161,-32.349,-0.633499
278,-19.8079,-32.9707,-0.648813
279,-19.7989,-33.6273,-0.665223
280,-19.7892,-34.3073,-0.682481
281,-19.7791,-34.9989,-0.700324
282,-19.7686,-35.6905,-0.718471
283,-19.7579,-36.3704,-0.736622
284,-19.7472,-37.0271,-0.754455
285,-19.7368,-37.6488,-0.771624
286,-19.7269,-38.2239,-0.787765
287,-19.7177,-38.7407,-0.802491
288,-19.7096,-39.1877,-0.815398
289,-19.7029,-39.5531,-0.826073
290,-19.6977,-39.8253,-0.834098
291,-19.6945,-39.9927,-0.839065
292,-19.6925,-40.099,-0.842234
293,-19.6906,-40.1962,-0.845136
294,-19.6889,-40.2844,-0.847778
295,-19.6874,-40.3638,-0.850165
296,-19.686,-40.4349,-0.852304
297,-19.6848,-40.4978,-0.854201
298,-19.6837,-40.5528,-0.855864
299,-19.6827,-40.6002,-0.857299
300,-19.682,-40.6403,-0.858514
301,-19.6813,-40.6733,-0.859515
302,-19.6808,-40.6995,-0.860311
303,-19.6804,-40.7193,-0.86091
304,-19.6801,-40.7327,-0.861319
305,-19.68,-40.7402,-0.861547
306,-19.6799,-40.742,-0.8616
307,-19.68,-40.7383,-0.861489
308,-19.6802,-40.7295,-0.861221
309,-19.6805,-40.7158,-0.860804
310,-19.6808,-40.6974,-0.860247
311,-19.6813,-40.6747,-0.859558
312,-19.6818,-40.648,-0.858746
313,-19.6824,-40.6174,-0.85782
314,-19.6831,-40.5834,-0.856788
315,-19.6838,-40.546,-0.855658
316,-19.6846,-40.5057,-0.854439
317,-19.6854,-40.4626,-0.85314
318,-19.6863,-40.4171,-0.851768
319,-19.6873,-40.3694,-0.850333
320,-19.6882,-40.3199,-0.848843
321,-19.6892,-40.2686,-0.847307
322,-19.6902,-40.2161,-0.845732
323,-19.6913,-40.1624,-0.844127
324,-19.6923,-40.108,-0.8425
325,-19.6934,-40.053,-0.840859
326,-19.6944,-39.9977,-0.839214
327,-19.6955,-39.9424,-0.83757
328,-19.6965,-39.8874,-0.835938
329,-19.6976,-39.8329,-0.834324
330,-19.6986,-39.7793,-0.832737
331,-19.6996,-39.7267,-0.831184
332,-19.7006,-39.6755,-0.829674
333,-19.7015,-39.6259,-0.828214
334,-19.7024,-39.5782,-0.826812
335,-19.7032,-39.5327,-0.825476
336,-19.704,-39.4897,-0.824213
337,-19.7048,-39.4493,-0.823031
338,-19.7055,-39.412,-0.821938
339,-19.7061,-39.3779,-0.820942
340,-19.7067,-39.3473,-0.820049
341,-19.7072,-39.3206,-0.819268
342,-19.7076,-39.2979,-0.818607
343,-19.7079,-39.2796,-0.818073
344,-19.7082,-39.2659,-0.817673
345,-19.7083,-39.257,-0.817416
346,-19.7084,-39.2534,-0.81731
347,-19.7084,-39.2552,-0.817361
348,-19.7082,-39.2626,-0.817579
349,-19.708,-39.2761,-0.817971
350,-19.7076,-39.2958,-0.818545
351,-19.7071,-39.322,-0.81931
352,-19.7065,-39.355,-0.820274
353,-19.7058,-39.3951,-0.821445
354,-19.7049,-39.4425,-0.822832
355,-19.7039,-39.4976,-0.824444
356,-19.7027,-39.5605,-0.82629
357,-19.7014,-39.6315,-0.828379
358,-19.6999,-39.711,-0.830721
359,-19.6982,-39.7992,-0.833325
360,-19.6964,-39.8963,-0.836202
361,-19.6943,-40.0027,-0.839362
362,-19.6911,-40.1701,-0.844355
363,-19.6858,-40.4423,-0.852527
364,-19.6786,-40.8077,-0.863601
365,-19.6696,-41.2546,-0.877314
366,-19.659,-41.7715,-0.893407
367,-19.6468,-42.3465,-0.911621
368,-19.6332,-42.9682,-0.931689
369,-19.6183,-43.6248,-0.953332
370,-19.6024,-44.3047,-0.976246
371,-19.5857,-44.9963,-1.0001
372,-19.5683,-45.6878,-1.02454
373,-19.5505,-46.3677,-1.04917
374,-19.5328,-47.0243,-1.07354
375,-19.5154,-47.6459,-1.09717
376,-19.4988,-48.221,-1.11954
377,-19.4834,-48.7378,-1.14007
378,-19.4698,-49.1847,-1.15817
379,-19.4584,-49.55,-1.17322
380,-19.4497,-49.8222,-1.18457
381,-19.4443,-49.9896,-1.19162
382,-19.4409,-50.096,-1.19612
383,-19.4377,-50.1931,-1.20025
384,-19.4348,-50.2812,-1.20401
385,-19.4322,-50.3607,-1.20742
386,-19.4298,-50.4318,-1.21047
387,-19.4278,-50.4947,-1.21318
388,-19.4259,-50.5497,-1.21555
389,-19.4243,-50.5971,-1.21761
390,-19.423,-50.6372,-1.21935
391,-19.4219,-50.6702,-1.22078
392,-19.421,-50.6964,-1.22192
393,-19.4203,-50.7161,-1.22278
394,-19.4199,-50.7295,-1.22336
395,-19.4196,-50.737,-1.22369
396,-19.4196,-50.7388,-1.22377
397,-19.4197,-50.7351,-1.22361
398,-19.42,-50.7263,-1.22322
399,-19.4205,-50.7126,-1.22263
400,-19.4211,-50.6943,-1.22183
401,-19.4218,-50.6716,-1.22084
402,-19.4227,-50.6448,-1.21968
403,-19.4238,-50.6143,-1.21835
404,-19.4249,-50.5802,-1.21688
405,-19.4262,-50.5429,-1.21526
406,-19.4275,-50.5025,-1.21352
407,-19.4289,-50.4595,-1.21166
408,-19.4304,-50.414,-1.2097
409,-19.432,-50.3663,-1.20766
410,-19.4337,-50.3167,-1.20553
411,-19.4353,-50.2655,-1.20334
412,-19.4371,-50.213,-1.2011
413,-19.4388,-50.1593,-1.19881
414,-19.4406,-50.1049,-1.1965
415,-19.4424,-50.0499,-1.19417
416,-19.4442,-49.9946,-1.19183
417,-19.446,-49.9393,-1.1895
418,-19.4477,-49.8843,-1.18718
419,-19.4495,-49.8299,-1.18489
420,-19.4512,-49.7762,-1.18264
421,-19.4529,-49.7237,-1.18045
422,-19.4545,-49.6725,-1.17831
423,-19.4561,-49.6229,-1.17624
424,-19.4576,-49.5752,-1.17426
425,-19.459,-49.5297,-1.17238
426,-19.4604,-49.4867,-1.17059
427,-19.4616,-49.4463,-1.16893
428,-19.4628,-49.409,-1.16738
429,-19.4639,-49.3749,-1.16598
430,-19.4648,-49.3443,-1.16472
431,-19.4657,-49.3176,-1.16362
432,-19.4664,-49.2949,-1.16269
433,-19.4669,-49.2766,-1.16194
434,-19.4674,-49.2629,-1.16138
435,-19.4676,-49.254,-1.16101
436,-19.4678,-49.2504,-1.16086
437,-19.4677,-49.2522,-1.16094
438,-19.4675,-49.2596,-1.16124
439,-19.4671,-49.2731,-1.16179
440,-19.4664,-49.2928,-1.1626
441,-19.4656,-49.319,-1.16368
442,-19.4646,-49.352,-1.16504
443,-19.4633,-49.3921,-1.16669
444,-19.4619,-49.4395,-1.16864
445,-19.4601,-49.4945,-1.17092
446,-19.4581,-49.5574,-1.17353
447,-19.4559,-49.6285,-1.17648
448,-19.4534,-49.7079,-1.17979
449,-19.4506,-49.7961,-1.18348
450,-19.4474,-49.8932,-1.18756
451,-19.444,-49.9996,-1.19204
452,-19.4386,-50.167,-1.19914
453,-19.4296,-50.4392,-1.21079
454,-19.4174,-50.8045,-1.22664
455,-19.402,-51.2514,-1.24636
456,-19.3838,-51.7682,-1.26966
457,-19.3628,-52.3432,-1.29621
458,-19.3394,-52.9648,-1.32571
459,-19.3137,-53.6213,-1.3578
460,-19.2859,-54.3011,-1.39209
461,-19.2565,-54.9925,-1.42816
462,-19.2258,-55.684,-1.46549
463,-19.1943,-56.3637,-1.5035
464,-19.1625,-57.0202,-1.54152
465,-19.1312,-57.6417,-1.57877
466,-19.101,-58.2166,-1.61439
467,-19.0728,-58.7333,-1.6474
468,-19.0477,-59.1801,-1.67674
469,-19.0266,-59.5454,-1.70131
470,-19.0105,-59.8176,-1.71996
471,-19.0004,-59.9849,-1.73158
472,-18.994,-60.0912,-1.73902
473,-18.988,-60.1883,-1.74586
474,-18.9826,-60.2765,-1.75211
475,-18.9777,-60.3559,-1.75777
476,-18.9733,-60.4269,-1.76285
477,-18.9693,-60.4898,-1.76736
478,-18.9659,-60.5448,-1.77133
479,-18.9629,-60.5922,-1.77476
480,-18.9604,-60.6323,-1.77766
481,-18.9583,-60.6653,-1.78006
482,-18.9566,-60.6915,-1.78197
483,-18.9554,-60.7112,-1.78341
484,-18.9545,-60.7247,-1.78439
485,-18.954,-60.7321,-1.78494
486,-18.9539,-60.7339,-1.78507
487,-18.9541,-60.7302,-1.7848
488,-18.9547,-60.7214,-1.78415
489,-18.9556,-60.7077,-1.78315
490,-18.9567,-60.6894,-1.78182
491,-18.9582,-60.6667,-1.78017
492,-18.9599,-60.64,-1.77822
493,-18.9618,-60.6094,-1.77601
494,-18.964,-60.5753,-1.77354
495,-18.9663,-60.538,-1.77084
496,-18.9688,-60.4977,-1.76793
497,-18.9715,-60.4546,-1.76484
498,-18.9744,-60.4092,-1.76157
499,-18.9773,-60.3615,-1.75816
500,-18.9804,-60.312,-1.75463
501,-18.9836,-60.2608,-1.75099
502,-18.9868,-60.2082,-1.74727
503,-18.9901,-60.1546,-1.74348
504,-18.9934,-60.1001,-1.73965
505,-18.9968,-60.0451,-1.73579
506,-19.0001,-59.9899,-1.73192
507,-19.0034,-59.9346,-1.72807
508,-19.0067,-59.8796,-1.72425
509,-19.01,-59.8252,-1.72048
510,-19.0132,-59.7716,-1.71678
511,-19.0163,-59.719,-1.71317
512,-19.0194,-59.6678,-1.70966
513,-19.0223,-59.6182,-1.70627
514,-19.0251,-59.5706,-1.70302
515,-19.0277,-59.5251,-1.69992
516,-19.0303,-59.4821,-1.69701
517,-19.0326,-59.4417,-1.69428
518,-19.0348,-59.4044,-1.69176
519,-19.0368,-59.3703,-1.68946
520,-19.0385,-59.3398,-1.68741
521,-19.0401,-59.313,-1.68562
522,-19.0414,-59.2904,-1.6841
523,-19.0424,-59.272,-1.68287
524,-19.0432,-59.2583,-1.68195
525,-19.0437,-59.2495,-1.68136
526,-19.0439,-59.2458,-1.68112
527,-19.0438,-59.2476,-1.68124
528,-19.0434,-59.2551,-1.68174
529,-19.0426,-59.2685,-1.68264
530,-19.0415,-59.2882,-1.68395
531,-19.04,-59.3145,-1.68571
532,-19.0381,-59.3475,-1.68793
533,-19.0358,-59.3875,-1.69062
534,-19.033,-59.4349,-1.69382
535,-19.0298,-59.4899,-1.69754
536,-19.0261,-59.5528,-1.70181
537,-19.0219,-59.6238,-1.70665
538,-19.0173,-59.7033,-1.71209
539,-19.012,-59.7914,-1.71815
540,-19.0062,-59.8885,-1.72487
541,-18.9998,-59.9949,-1.73227
542,-18.9896,-60.1622,-1.74402
543,-18.9728,-60.4343,-1.76338
544,-18.9497,-60.7996,-1.78988
545,-18.9206,-61.2464,-1.82313
546,-18.8858,-61.763,-1.86277
547,-18.8454,-62.3378,-1.90848
548,-18.7997,-62.9592,-1.9599
549,-18.749,-63.6155,-2.01664
550,-18.6937,-64.2951,-2.07823
551,-18.6342,-64.9863,-2.14406
552,-18.5712,-65.6774,-2.21339
553,-18.5056,-66.3569,-2.28525
554,-18.4383,-67.0131,-2.35844
555,-18.371,-67.6343,-2.43148
556,-18.3051,-68.2089,-2.50256
557,-18.2428,-68.7253,-2.56954
558,-18.1863,-69.1718,-2.63003
559,-18.1383,-69.5369,-2.68135
560,-18.1014,-69.8088,-2.72073
561,-18.0782,-69.976,-2.74546
562,-18.0614,-70.0948,-2.76326
563,-18.0423,-70.2286,-2.78357
564,-18.0209,-70.3766,-2.80634
565,-17.9971,-70.5381,-2.83156
566,-17.971,-70.7122,-2.8592
567,-17.9427,-70.898,-2.88925
568,-17.912,-71.0948,-2.92169
569,-17.879,-71.3017,-2.95652
570,-17.8438,-71.518,-2.99372
571,-17.8062,-71.7428,-3.03328
572,-17.7664,-71.9753,-3.07521
573,-17.7242,-72.2146,-3.11948
574,-17.6798,-72.4601,-3.16609
575,-17.6331,-72.7108,-3.21503
576,-17.5842,-72.9659,-3.26626
577,-17.533,-73.2246,-3.31977
578,-17.4796,-73.4861,-3.37551
579,-17.424,-73.7496,-3.43344
580,-17.3663,-74.0143,-3.4935
581,-17.3065,-74.2793,-3.55562
582,-17.2448,-74.5439,-3.61971
583,-17.1812,-74.8072,-3.68565
584,-17.1159,-75.0684,-3.75331
585,-17.049,-75.3266,-3.82253
586,-16.9806,-75.5812,-3.89314
587,-16.9111,-75.8312,-3.9649
588,-16.8406,-76.0758,-4.03759
589,-16.7694,-76.3143,-4.11089
590,-16.6978,-76.5458,-4.18449
591,-16.6263,-76.7695,-4.25802
592,-16.5551,-76.9846,-4.33107
593,-16.4849,-77.1902,-4.40318
594,-16.4159,-77.3856,-4.47384
595,-16.3489,-77.57,-4.54252
596,-16.2843,-77.7425,-4.60863
597,-16.2228,-77.9024,-4.67155
598,-16.165,-78.0487,-4.73062
599,-16.1116,-78.1808,-4.78517
600,-16.0633,-78.2978,-4.83449
601,-16.0208,-78.3988,-4.8779
602,-15.9848,-78.4832,-4.9147
603,-15.9558,-78.55,-4.94423
604,-15.9346,-78.5984,-4.96586
605,-15.9217,-78.6277,-4.97902
606,-15.9176,-78.637,-4.98323
607,-15.9227,-78.6256,-4.97806
608,-15.9372,-78.5925,-4.96322
609,-15.9615,-78.537,-4.93849
610,-15.9955,-78.4584,-4.90381
611,-16.0391,-78.3556,-4.85924
612,-16.0923,-78.228,-4.80495
613,-16.1546,-78.0747,-4.74125
614,-16.2257,-77.8949,-4.66858
615,-16.305,-77.6878,-4.58746
616,-16.3918,-77.4525,-4.49853
617,-16.4855,-77.1883,-4.40249
618,-16.5853,-76.8943,-4.30012
619,-16.6903,-76.5696,-4.19221
620,-16.7998,-76.2135,-4.07961
621,-16.9128,-75.8252,-3.96316
622,-17.0285,-75.4037,-3.84367
623,-17.1462,-74.9484,-3.72195
624,-17.265,-74.4583,-3.59874
625,-17.3843,-73.9327,-3.47477
626,-17.5034,-73.3706,-3.35068
627,-17.6216,-72.7714,-3.22707
628,-17.7385,-72.1341,-3.10446
629,-17.8536,-71.458,-2.98332
630,-17.9665,-70.7423,-2.86403
631,-18.0768,-69.986,-2.74695
632,-18.2316,-68.8149,-2.58149
633,-18.4492,-66.9093,-2.3466
634,-18.6891,-64.3505,-2.08338
635,-18.9224,-61.2199,-1.82113
636,-19.1333,-57.5991,-1.57618
637,-19.3157,-53.5696,-1.35524
638,-19.4689,-49.2133,-1.15934
639,-19.5951,-44.6116,-0.986763
640,-19.6973,-39.8465,-0.834725
641,-19.7791,-34.9994,-0.700338
642,-19.8434,-30.1523,-0.581016
643,-19.893,-25.3867,-0.474642
644,-19.9303,-20.7843,-0.379624
645,-19.9573,-16.4269,-0.294882
646,-19.976,-12.3961,-0.219834
647,-19.988,-8.77359,-0.154365
648,-19.995,-5.64106,-0.0987925
649,-19.9984,-3.08017,-0.0538208
650,-19.9997,-1.17259,-0.0204722
651,-19.9999,0,0
652,-19.9998,0.754257,0.0131674
653,-19.9996,1.46199,0.0255267
654,-19.9992,2.12429,0.0370996
655,-19.9987,2.74223,0.0479064
656,-19.9982,3.31692,0.0579666
657,-19.9976,3.84944,0.067299
658,-19.997,4.34088,0.0759218
659,-19.9964,4.79232,0.0838527
660,-19.9957,5.20485,0.0911092
661,-19.9951,5.57957,0.0977087
662,-19.9945,5.91755,0.103669
663,-19.994,6.21989,0.109006
664,-19.9934,6.48768,0.113739
665,-19.993,6.722,0.117884
666,-19.9925,6.92395,0.12146
667,-19.9922,7.0946,0.124484
668,-19.9918,7.23506,0.126974
669,-19.9916,7.3464,0.12895
670,-19.9914,7.42972,0.130429
671,-19.9913,7.4861,0.13143
672,-19.9912,7.51663,0.131972
673,-19.9912,7.5224,0.132074
674,-19.9912,7.5045,0.131757
675,-19.9913,7.46402,0.131038
676,-19.9915,7.40204,0.129937
677,-19.9917,7.31965,0.128475
678,-19.9919,7.21794,0.126671
679,-19.9922,7.09801,0.124544
680,-19.9925,6.96093,0.122115
681,-19.9928,6.80779,0.119403
682,-19.9931,6.63969,0.116427
683,-19.9935,6.45771,0.113209
684,-19.9939,6.26294,0.109767
685,-19.9943,6.05647,0.10612
686,-19.9947,5.83939,0.10229
687,-19.9951,5.61277,0.0982939
688,-19.9955,5.37773,0.0941529
689,-19.9958,5.13533,0.0898856
690,-19.9962,4.88667,0.0855116
691,-19.9966,4.63284,0.0810498
692,-19.997,4.37492,0.0765196
693,-19.9973,4.11401,0.0719399
694,-19.9976,3.85119,0.0673297
695,-19.9979,3.58755,0.062708
696,-19.9982,3.32418,0.0580937
697,-19.9984,3.06217,0.0535056
698,-19.9987,2.80259,0.0489625
699,-19.9989,2.54656,0.0444832
700,-19.9991,2.29514,0.0400865
701,-19.9992,2.04943,0.0357911
702,-19.9994,1.81052,0.0316158
703,-19.9995,1.57949,0.0275794
704,-19.9996,1.35744,0.0237006
705,-19.9997,1.14545,0.0199982
706,-19.9997,0.944613,0.0164911
